"County","County Number","Legislative District","Precinct Number","Polling Location","Address","City","State","Zip Code","Polling Hours","County Auditor Phone"
"Cass","09","27","01","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 7:00AM-7:00PM CT","(701) 241-5602 Ext. "
"Cass","09","27","01","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5602 Ext. "
"Cass","09","27","02","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 7:00AM-7:00PM CT","(701) 241-5602 Ext. "
"Cass","09","27","02","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5602 Ext. "
"Cass","09","27","03","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 7:00AM-7:00PM CT","(701) 241-5602 Ext. "
"Cass","09","27","03","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5602 Ext. "
"Cass","09","41","01","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 7:00AM-7:00PM CT","(701) 241-5602 Ext. "
"Cass","09","41","01","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5602 Ext. "
"Cass","09","41","02","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 7:00AM-7:00PM CT","(701) 241-5602 Ext. "
"Cass","09","41","02","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5602 Ext. "
"Cass","09","44","01","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 7:00AM-7:00PM CT","(701) 241-5602 Ext. "
"Cass","09","44","01","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5602 Ext. "
"Cass","09","44","02","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 7:00AM-7:00PM CT","(701) 241-5602 Ext. "
"Cass","09","44","02","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5602 Ext. "
"Cass","09","45","01","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 7:00AM-7:00PM CT","(701) 241-5602 Ext. "
"Cass","09","45","01","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5602 Ext. "
"Cass","09","45","02","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 7:00AM-7:00PM CT","(701) 241-5602 Ext. "
"Cass","09","45","02","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5602 Ext. "
"Cass","09","45","03","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 9:00AM-7:00PM CT, 7:00AM-7:00PM CT","(701) 241-5602 Ext. "
"Cass","09","45","03","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5602 Ext. "
"Cass","09","45","03","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-8:00PM","(701) 241-5602 Ext. "
