polling_location,address,city,county,zip_code,polling_hours,county_auditor_phone
Solheim Elementary School,325 Munich Dr,Bismarck,Burleigh,58504,7:00AM-7:00PM,(701) 222-6718 Ext.
Grimsrud Elementary School,716 W St Benedict Dr,Bismarck,Burleigh,58501,7:00AM-7:00PM,(701) 222-6718 Ext.
Good Shepherd Church,106 Osage Ave,Bismarck,Burleigh,58501,7:00AM-7:00PM,(701) 222-6718 Ext.
Bismarck Baptist Church,2211 Laforest Avenue,Bismarck,Burleigh,58501,7:00AM-7:00PM,(701) 222-6718 Ext.
Century Baptist Church,205 Colt Ave,Bismarck,Burleigh,58503,7:00AM-7:00PM,(701) 222-6718 Ext.
GracePoint Church,205 43rd Ave NE,Bismarck,Burleigh,58503,7:00AM-7:00PM,(701) 222-6718 Ext.
Arthur Community Hall,550 Main St,Arthur,Cass,58006,7:00AM-7:00PM,(701) 241-5600 Ext.
Atonement Lutheran,4601 University Drive South,Fargo,Cass,58104,7:00AM-7:00PM,(701) 241-5600 Ext.
Casselton City Hall,702 1st St N,Casselton,Cass,58012,7:00AM-7:00PM,(701) 241-5600 Ext.
Doubletree Inn,825 E Beaton Dr,West Fargo,Cass,58078,7:00AM-7:00PM,(701) 241-5600 Ext.
El Zagal Shrine,1429 3rd Street North,Fargo,Cass,58102,7:00AM-7:00PM,(701) 241-5600 Ext.
Fargo Civic Center,207 4th St N,Fargo,Cass,58102,7:00AM-7:00PM,(701) 241-5600 Ext.
Fargo Parks Sports Center,6100 38th St S,Fargo,Cass,58104,7:00AM-7:00PM,(701) 241-5600 Ext.
FargoDome,1800 University Drive North,Fargo,Cass,58102,7:00AM-7:00PM,(701) 241-5600 Ext.
"Hartl Ag Building, RRVF",1805 Main Ave W,West Fargo,Cass,58078,7:00AM-7:00PM,(701) 241-5600 Ext.
Harwood Community Center,210 Freedland Drive,Harwood,Cass,58042,7:00AM-7:00PM,(701) 241-5600 Ext.
Horace Senior Ctr,220 Thue Ct,Horace,Cass,58047,7:00AM-7:00PM,(701) 241-5600 Ext.
Kindred City Hall,31 5th Ave N,Kindred,Cass,58051,7:00AM-7:00PM,(701) 241-5600 Ext.
Ramada Inn,3333 13th Avenue South,Fargo,Cass,58103,7:00AM-7:00PM,(701) 241-5600 Ext.
Tower City Community Center,507 Broadway St,Tower City,Cass,58071,7:00AM-7:00PM,(701) 241-5600 Ext.
Triumph West Church,3745 Sheyenne St S,West Fargo,Cass,58078,7:00AM-7:00PM,(701) 241-5600 Ext.
West Fargo Fire Hall,1201 10th Ave E,West Fargo,Cass,58078,7:00AM-7:00PM,(701) 241-5600 Ext.
Cavalier County Courthouse,901 3RD ST,LANGDON,Cavalier,58249,7:00AM-7:00PM,(701) 256-2229 Ext.
Ellendale Church of the Nazarene,112 5th Street N,Ellendale,Dickey,58436,7:00AM-7:00PM,(701) 349-8303 Ext.
Oakes Community Center,124 5th St S,Oakes,Dickey,58474,7:00AM-7:00PM,(701) 349-8303 Ext.
Divide County Courthouse,200 N Main ST,Crosby,Divide,58730,7:00AM-7:00PM,(701) 965-6351 Ext.
Dunn County Courthouse,205 Owens Street,Manning,Dunn,58642,7:00AM-7:00PM,(701) 573-4448 Ext.
Halliday City Hall,131 Main St. East,Halliday,Dunn,58636,7:00AM-7:00PM,(701) 573-4448 Ext.
North Fox - St Anthony Mission,9385 BIA Rte 12,Mandaree,Dunn,58757,7:00AM-7:00PM,(701) 573-4448 Ext.
Twin Buttes Community Center,691 ADJ Ave. NW,Twin Buttes,Dunn,58636,7:00AM-7:00PM,(701) 573-4448 Ext.
Brown Memorial,621 Central Avenue,New Rockford,Eddy,58356,8:00AM-7:00PM,(701) 947-2434 Ext. 2020
Emmons County Courthouse,100 4th St. NW,Linton,Emmons,58552,8:00AM-7:00PM,(701) 254-4807 Ext.
Hazelton City Hall,342 Main St.,Hazelton,Emmons,58544,8:00AM-7:00PM,(701) 254-4807 Ext.
The Blue Room,622 Main St.,Strasburg,Emmons,58573,8:00AM-7:00PM,(701) 254-4807 Ext.
Carrington Library,87 8th Ave N,Carrington,Foster,58421,7:00AM-7:00PM,(701) 652-2441 Ext.
Beach Community Center,153 Main St.,Beach,Golden Valley,58621,7:30AM-7:00PM,(701) 872-4331 Ext.
Alerus Center Voting Center,1200 42nd Street South,Grand Forks,Grand Forks,58201,7:00AM-7:00PM,(701) 780-8200 Ext.
Hope Church Voting Center,1601 17th Ave S,Grand Forks,Grand Forks,58201,7:00AM-7:00PM,(701) 780-8200 Ext.
ICON Arena/Park Dist Offices Voting Center,1060 47th Ave S,Grand Forks,Grand Forks,58201,7:00AM-7:00PM,(701) 780-8200 Ext.
Runnings Voting Center aka Home of Economy,1508 N Washington St,Grand Forks,Grand Forks,58203,7:00AM-7:00PM,(701) 780-8200 Ext.
Manvel Public School,801 Oldham Ave,Manvel,Grand Forks,58256,7:00AM-7:00PM,(701) 780-8200 Ext.
Gilby Presbyterian Church,125 3rd St,Gilby,Grand Forks,58235,7:00AM-7:00PM,(701) 780-8200 Ext.
Larimore Senior Citizens Center,116 Towner Ave,Larimore,Grand Forks,58251,7:00AM-7:00PM,(701) 780-8200 Ext.
Northwood Community Center,12 N Raymond St,Northwood,Grand Forks,58267,7:00AM-7:00PM,(701) 780-8200 Ext.
Emerado Community Center,300 Main Street,Emerado,Grand Forks,58228,7:00AM-7:00PM,(701) 780-8200 Ext.
Thompson Community Center,306 Pacific Ave,Thompson,Grand Forks,58278,7:00AM-7:00PM,(701) 780-8200 Ext.
Elgin Community Center,305 Main Street North,Elgin,Grant,58533,7:00AM-7:00PM,(701) 622-3275 Ext.
Grant County Courthouse,106 2nd AVE NE,Carson,Grant,58529,7:00AM-7:00PM,(701) 622-3275 Ext.
Griggs County Courthouse,805 Odegard Ave SW,Cooperstown,Griggs,58425,7:00AM-7:00PM,(701) 797-3117 Ext.
Enchanted Castle,607 Main Ave S,Regent,Hettinger,58650,9:00AM-7:00PM,(701) 824-2515 Ext.
Mott Armory,507 Brown Ave,Mott,Hettinger,58646,9:00AM-7:00PM,(701) 824-2515 Ext.
New England Memorial Hall,925 Main Street,New England,Hettinger,58646,9:00AM-7:00PM,(701) 824-2515 Ext.
Pifer's Auction & Realty Building,510 7th St NW,Steele,Kidder,58482,7:00AM-7:00PM,(701) 475-4547 Ext.
BankNorth Mall Community Room,100 1st Ave SW,LaMoure,LaMoure,58458,9:00AM-7:00PM,(701) 883-6040 Ext.
Edgeley National Guard Armory,508 1st Ave W,Edgeley,LaMoure,58433,9:00AM-7:00PM,(701) 883-6040 Ext.
Logan County Courthouse,301 Broadway,Napoleon,Logan,58561,9:00AM-7:00PM,(701) 754-2425 Ext.
McHenry County Courthouse,407 Main St S,Towner,McHenry,58788,7:00AM-7:00PM,(701) 537-5724 Ext.
McIntosh County Courthouse,112 1st St NE,Ashley,McIntosh,58413,9:00AM-7:00PM,(701) 288-5141 Ext.
National Guard Armory,"1210 1st Ave, S",Wishek,McIntosh,58495,9:00AM-7:00PM,(701) 288-5141 Ext.
Cartwright Hall,213 Main St,Cartwright,McKenzie,58838,9:00AM-7:00PM,(701) 444-3616 Ext. 3
Mandaree Community Center,212 Ridge Road,Mandaree,McKenzie,58757,9:00AM-7:00PM,(701) 444-3616 Ext. 3
Watford City City Hall,213 2nd ST NE,Watford City,McKenzie,58854,9:00AM-7:00PM,(701) 444-3616 Ext. 3
Garrison City Auditorium (Vote Center),15 Main St South,Garrison,McLean,58540,7:00AM-7:00PM,(701) 462-8541 Ext. 825
Turtle Lake City Hall (Vote Center),107 Eggert St,Turtle Lake,McLean,58575,7:00AM-7:00PM,(701) 462-8541 Ext. 825
Washburn Memorial Building (Vote Center),805 Main Avenue,Washburn,McLean,58577,7:00AM-7:00PM,(701) 462-8541 Ext. 825
Ralph Wells Community Center,1104 Warrior St,White Shield,McLean,58540,7:00AM-7:00PM,(701) 462-8541 Ext. 825
Beulah Civic Center,120 7 ST NE,Beulah,Mercer,58523,8:00AM-7:00PM,(701) 745-3292 Ext.
First Lutheran Church,408 9th St NW,Mandan,Morton,58554,7:00AM-7:00PM,(701) 667-3300 Ext.
Engage Church,4209 Old Red Trail,Mandan,Morton,58554,7:00AM-7:00PM,(701) 667-3300 Ext.
Midway Lanes,3327 Memorial Hwy,Mandan,Morton,58554,7:00AM-7:00PM,(701) 667-3300 Ext.
Capital Credit Union (fka: Flasher Credit Union),105 Main St N,Flasher,Morton,58535,7:00AM-7:00PM,(701) 667-3300 Ext.
St. Anthony Hall,2332 Co Rd 136,Saint Anthony,Morton,58566,7:00AM-7:00PM,(701) 667-3300 Ext.
Mandan Airport,4490 Hwy 6,Mandan,Morton,58554,7:00AM-7:00PM,(701) 667-3300 Ext.
Redeemer Lutheran Church,904 8th Ave SE,Mandan,Morton,58554,7:00AM-7:00PM,(701) 667-3300 Ext.
Eagles Club,1400 Collins Ave,Mandan,Morton,58554,7:00AM-7:00PM,(701) 667-3300 Ext.
New Salem City Auditorium,400 Main Ave,New Salem,Morton,58563,7:00AM-7:00PM,(701) 667-3300 Ext.
Almont Fire Hall,510 Dakota Ave,Almont,Morton,58520,7:00AM-7:00PM,(701) 667-3300 Ext.
Glen Ullin Municipal Building,119 Main St S,Glen Ullin,Morton,58631,7:00AM-7:00PM,(701) 667-3300 Ext.
Hebron Community Center,600 Washington Ave,Hebron,Morton,58638,7:00AM-7:00PM,(701) 667-3300 Ext.
Mountrail County South Complex,8103 61st St NW,Stanley,Mountrail,58784,8:00AM-7:00PM,(701) 628-2145 Ext.
New Town Civic Center Auditorium,103 Soo Place,New Town,Mountrail,58763,8:00AM-7:00PM,(701) 628-2145 Ext.
Palermo City Hall,249 Broadway St,Palermo,Mountrail,58769,8:00AM-7:00PM,(701) 628-2145 Ext.
Parshall American Legion Building,16 Main St N,Parshall,Mountrail,58770,8:00AM-7:00PM,(701) 628-2145 Ext.
Plaza R&B Complex,4161 64th Ave NW,Plaza,Mountrail,58771,8:00AM-7:00PM,(701) 628-2145 Ext.
Ross Community Building,300 Main St,Ross,Mountrail,58776,8:00AM-7:00PM,(701) 628-2145 Ext.
Nelson County Courthouse,210 B Ave W,Lakota,Nelson,58344,7:00AM-7:00PM,(701) 247-2463 Ext.
Oliver County Courthouse,115 West Main,Center,Oliver,58530,8:00AM-7:00PM,(701) 794-8721 Ext.
Pembina County Courthouse,301 Dakota St W,Cavalier,Pembina,58220,8:00AM-7:00PM,(701) 265-4231 Ext.
Pierce County Courthouse,"240 2nd St SE, Suite 6",Rugby,Pierce,58368,7:00AM-7:00PM,(701) 776-5225 Ext. 2000
Memorial Building,524 4th Ave NE,Devils Lake,Ramsey,58301,7:00AM-7:00PM,(701) 662-7025 Ext.
Renville County Courthouse,205 Main St E,Mohall,Renville,58761,8:00AM-7:00PM,(701) 756-6301 Ext.
Abercrombie Community Hall,516 Broadway,Abercrombie,Richland,58001,7:00AM-7:00PM,(701) 642-7700 Ext.
Colfax Community Center,209 Broadway St S,Colfax,Richland,58018,7:00AM-7:00PM,(701) 642-7700 Ext.
Fairmount Community Center,113 Main Ave,Fairmount,Richland,58030,7:00AM-7:00PM,(701) 642-7700 Ext.
Hankinson Community Center,112 Main Ave S,Hankinson,Richland,58041,7:00AM-7:00PM,(701) 642-7700 Ext.
Lidgerwood KC Hall,56 Wiley Ave S,Lidgerwood,Richland,58053,7:00AM-7:00PM,(701) 642-7700 Ext.
Wahpeton Event Center,995 21st Ave N,Wahpeton,Richland,58041,7:00AM-7:00PM,(701) 642-7700 Ext.
Wyndmere Fire Hall,306 Cedar Ave,Wyndmere,Richland,58081,7:00AM-7:00PM,(701) 642-7700 Ext.
Forman City Hall,349 Main St S,Forman,Sargent,58032,8:00AM-7:00PM,(701) 724-6241 Ext. 101
McClusky City Hall,117 B Ave East,McClusky,Sheridan,58463,8:00AM-7:00PM,(701) 363-2205 Ext.
Sioux County Courthouse,303 2nd Ave,Fort Yates,Sioux,58538,7:00AM-7:00PM,(701) 854-3481 Ext.
Marmarth Community Center,911 Main St,Marmarth,Slope,58643,9:00AM-7:00PM,(701) 879-6276 Ext.
Pierce Congregational Church,13001 73rd St SW,Scranton,Slope,58653,9:00AM-7:00PM,(701) 879-6276 Ext.
Slope County Courthouse,206 S Main St,Amidon,Slope,58620,9:00AM-7:00PM,(701) 879-6276 Ext.
Belfield City Hall,208 Main Street North,Belfield,Stark,58622,7:00AM-7:00PM MT,(701) 456-7630 Ext.
Biesiot Activites Center (BAC),398 State Ave N,Dickinson,Stark,58601,7:00AM-7:00PM MT,(701) 456-7630 Ext.
Prairie Hills Mall,1681 3rd Ave W,Dickinson,Stark,58601,7:00AM-7:00PM MT,(701) 456-7630 Ext.
Richardton City Hall,111 North Ave West,Richardton,Stark,58652,7:00AM-7:00PM MT,(701) 456-7630 Ext.
Steele County Courthouse,201 Washington Ave W,Finley,Steele,58230,8:00AM-7:00PM,(701) 524-2110 Ext.
Jamestown Civic Center,212 3rd Avenue NE,Jamestown,Stutsman,58401,7:00AM-7:00PM,(701) 252-9035 Ext.
American Legion,100 Water Street East,Medina,Stutsman,58467,7:00AM-7:00PM,(701) 252-9035 Ext.
Cando Armory,408 5th Ave,Cando,Towner,58324,8:00AM-7:00PM,(701) 968-4340 Ext. 1
Mayville Armory,332 Center Ave S,Mayille,Traill,58257,7:00AM-7:00PM,(701) 636-4458 Ext.
Walsh County Courthouse,600 Cooper Ave,Grafton,Walsh,58237,7:00AM-7:00PM,(701) 352-2851 Ext.
Berthold Senior Center,309 Main St N,Berthold,Ward,58718,7:00AM-7:00PM CT,(701) 857-6420 Ext.
Burlington City Hall,225 N Wallace St,Burlington,Ward,58722,7:00AM-7:00PM CT,(701) 857-6420 Ext.
Kenmare Memorial Hall,5 3rd St NE,Kenmare,Ward,58746,7:00AM-7:00PM CT,(701) 857-6420 Ext.
Minot Municipal Auditorium-Armory,420 3rd Ave SW,Minot,Ward,58701,7:00AM-7:00PM CT,(701) 857-6420 Ext.
ND State Fair Center,2005 E Burdick Expy,Minot,Ward,58701,7:00AM-7:00PM CT,(701) 857-6420 Ext.
Ryder City Hall,260 N Main St,Ryder,Ward,58779,7:00AM-7:00PM CT,(701) 857-6420 Ext.
Sawyer City Hall,45 Main St N,Sawyer,Ward,58781,7:00AM-7:00PM CT,(701) 857-6420 Ext.
Surrey City Hall,100 Pleasant Ave S,Surrey,Ward,58785,7:00AM-7:00PM CT,(701) 857-6420 Ext.
"Ward County Administration Building - 1st Floor Meeting Rooms 105, 106 & 108",225 3rd St SE,Minot,Ward,58701,7:00AM-7:00PM CT,(701) 857-6420 Ext.
Bowdon Fire Hall,220 Warrington Ave.,Bowdon,Wells,58418,7:00AM-7:00PM,(701) 547-3521 Ext.
Festival Hall (Wells County Fairgrounds),604 Hwy 15,Fessenden,Wells,58438,7:00AM-7:00PM,(701) 547-3521 Ext.
Harvey City Hall,120 West 8th Street,Harvey,Wells,58341,7:00AM-7:00PM,(701) 547-3521 Ext.
Williston ARC,822 18th St E,Williston,Williams,58801,7:00AM-7:00PM,(701) 577-4500 Ext.
Derrick Dixon Event Center,1210 William Hardesty Street,Belcourt,Rolette,58316,8:00AM-7:00PM,(701) 477-5665 Ext. 101
Dunseith City Hall,13 1st St E,Dunseith,Rolette,58329,8:00AM-7:00PM,(701) 477-5665 Ext. 101
Rolla City Hall,14 1st St SE,Rolla,Rolette,58367,8:00AM-7:00PM,(701) 477-5665 Ext. 101
St John Senior Center,200 Foussard Ave SW,St John,Rolette,58369,8:00AM-7:00PM,(701) 477-5665 Ext. 101
WWI Memorial Building,503 2nd Ave,Rolette,Rolette,58366,8:00AM-7:00PM,(701) 477-5665 Ext. 101
